Group member	Inoculation Amount	Time_weeks	Mean paper brightness	Mean soil brightness	Difference	Fraction remained
VL	1 mL	6	93.889	25.592	68.297	0.666761039
KF	1 mL	6	80.28	47.377	32.903	0.314433975
AH	1 mL	6	147.111	75.627	71.484	0.616711888
JR	1 mL	6	167.486	99.71	67.776	0.67271464
ES	1 mL	6				
VL	2 mL	6	67.161	29.57	37.591	0.399615172
KF	2 mL	6	101.025	45.058	55.967	0.500706771
AH	2 mL	6	137.499	69.642	67.857	0.649504666
JR	2 mL	6	157.627	97.449	60.178	0.609953375
ES	2 mL	6				
VL	3 mL	6	84.797	20.758	64.039	0.697676192
KF	3 mL	6	71.766	36.984	34.782	0.301984754
AH	3 mL	6	134.487	69.642	64.845	0.549885732
JR	3 mL	6	194.687	93.045	101.642	0.957252239
ES	3 mL	6				
VL	0 mL	7	64.901	45.626	19.275	0.231821134
KF	0 mL	7	100.125	51.765	48.36	0.405109948
AH	0 mL	7	67.933	29	38.933	0.343342681
JR	0 mL	7	158.366	104.89	53.476	0.511448191
ES	0 mL	7				
VL	1 mL	7	107.703	38.348	69.355	0.677089943
KF	1 mL	7	64.885	36.333	28.552	0.272854112
AH	1 mL	7	95.385	20.471	74.914	0.64630343
JR	1 mL	7	170.774	109.251	61.523	0.610650124
ES	1 mL	7				
VL	2 mL	7	79.815	40.074	39.741	0.422470978
KF	2 mL	7	92.159	49.434	42.725	0.38223769
AH	2 mL	7	94.2925	39.869	54.4235	0.520923666
JR	2 mL	7	157.797	112.606	45.191	0.458047841
ES	2 mL	7				
VL	3 mL	7	97.23	37.092	60.138	0.655176546
KF	3 mL	7	74.035	48.214	25.821	0.224183438
AH	3 mL	7	107.6415	19.9955	87.646	0.743238258
JR	3 mL	7	194.878	103.795	91.083	0.857808836
ES	3 mL	7				
VL	0 mL	8	35.919	24.286	11.633	0.139910519
KF	0 mL	8	118.31	53.153	65.157	0.545817801
AH	0 mL	8	137.84165	77.306	60.53565	0.53385232
JR	0 mL	8	157.3733	101.459	55.9143	0.534768263
ES	0 mL	8				
VL	1 mL	8	95.187	23.023	72.164	0.704513282
KF	1 mL	8	60.247	51.885	8.362	0.079910552
AH	1 mL	8	112.776	74.594	38.182	0.329406487
JR	1 mL	8	165.305	97.303	68.002	0.674957816
ES	1 mL	8				
VL	2 mL	8	51.558	22.225	29.333	0.311827614
KF	2 mL	8	83.008	49.397	33.611	0.300699614
AH	2 mL	8	67.283	35.811	31.472	0.301239531
JR	2 mL	8	159.266	107.235	52.031	0.52737685
ES	2 mL	8				
VL	3 mL	8	75.618	18.661	56.957	0.620520977
KF	3 mL	8	66.072	48.392	17.68	0.153501537
AH	3 mL	8	127.2245	81.074	46.1505	
JR	3 mL	8	188.377	113.756	74.621	0.702771682
ES	3 mL	8				
